DATE,CODE,NAME,WEBSITE LINK, LAST 12 MONTHS Low,LAST 12 MONTHS High,DAY'S TRADING Low,DAY'S TRADING High,DAY'S TRADING VWAP Price,Previous DAY'S VWAP Price,Change,Change Percent,Volume of Shares Traded,VWAP Adjusted Price for bonus issues and share splits
05-01-21,KAPC,Kapchorua Tea Kenya Plc,https://live.mystocks.co.ke/stock=KAPC, 64.00 , 90.00 , 78.00 , 78.00 , 78.00 , 78.00 , - ,-,-,
05-01-21,LIMT,Limuru Tea Plc,https://live.mystocks.co.ke/stock=LIMT, 360.00 , 475.00 , 360.00 , 360.00 , 360.00 , 360.00 , - ,-,-,
05-01-21,SASN,Sasini Plc,https://live.mystocks.co.ke/stock=SASN, 14.80 , 20.00 , 19.50 , 19.50 , 19.50 , 19.50 , - ,-,100,
05-01-21,WTK,Williamson Tea Kenya Plc,https://live.mystocks.co.ke/stock=WTK, 106.00 , 150.00 , 130.00 , 130.00 , 130.00 , 129.75 , 0.25 ,0.19%,100,
05-01-21,CGEN,Car and General (K) Ltd,https://live.mystocks.co.ke/stock=CGEN, 20.00 , 26.00 , 22.50 , 22.50 , 22.50 , 22.00 , 0.50 ,2.27%,100,
05-01-21,ABSA,ABSA Bank Kenya Plc,https://live.mystocks.co.ke/stock=ABSA, 8.50 , 11.90 , 9.44 , 9.70 , 9.44 , 9.52 , (0.08),0.84%,1923300,
05-01-21,BKG,BK Group Plc,https://live.mystocks.co.ke/stock=BKG, 12.15 , 24.00 , 20.50 , 20.50 , 20.50 , 20.50 , - ,-,-,
05-01-21,COOP,Co-operative Bank of Kenya Ltd,https://live.mystocks.co.ke/stock=COOP, 10.20 , 14.05 , 12.35 , 12.95 , 12.50 , 12.55 , (0.05),0.40%,425500,
05-01-21,DTK,Diamond Trust Bank Kenya Ltd,https://live.mystocks.co.ke/stock=DTK, 58.50 , 90.00 , 76.00 , 77.00 , 76.25 , 76.75 , (0.50),0.65%,10200,
05-01-21,EQTY,Equity Group Holdings Plc,https://live.mystocks.co.ke/stock=EQTY, 28.00 , 43.00 , 35.95 , 36.50 , 36.05 , 36.25 , (0.20),0.55%,879200,
05-01-21,HFCK,HF Group Ltd,https://live.mystocks.co.ke/stock=HFCK, 2.86 , 5.48 , 3.14 , 3.45 , 3.30 , 3.14 , 0.16 ,5.10%,53500,
05-01-21,IMH,I & M Holdings Plc,https://live.mystocks.co.ke/stock=IMH, 42.00 , 55.00 , 43.50 , 43.90 , 43.50 , 44.85 , (1.35),3.01%,107900,
05-01-21,KCB,KCB Group Plc,https://live.mystocks.co.ke/stock=KCB, 30.00 , 42.50 , 38.35 , 38.95 , 38.50 , 38.40 , 0.10 ,0.26%,70000,
05-01-21,NBK,National Bank of Kenya Ltd,https://live.mystocks.co.ke/stock=NBK, 4.12 , 4.12 , 4.12 , 4.12 , 4.12 , 4.12 , - ,-,-,
05-01-21,NCBA,NCBA Group Plc,https://live.mystocks.co.ke/stock=NCBA, 20.00 , 31.82 , 25.45 , 27.00 , 25.75 , 26.60 , (0.85),3.20%,67900,
05-01-21,SBIC,Stanbic Holdings Plc,https://live.mystocks.co.ke/stock=SBIC, 72.25 , 104.00 , 85.00 , 85.00 , 85.00 , 85.00 , - ,-,-,
05-01-21,SCBK,Standard Chartered Bank Kenya Ltd,https://live.mystocks.co.ke/stock=SCBK, 132.00 , 201.00 , 144.00 , 145.00 , 144.50 , 144.50 , - ,-,10100,
05-01-21,DCON,Deacons (East Africa) Plc,https://live.mystocks.co.ke/stock=DCON, 0.45 , 0.45 , 0.45 , 0.45 , 0.45 , 0.45 , - ,-,-,
05-01-21,EVRD,Eveready East Africa Ltd,https://live.mystocks.co.ke/stock=EVRD, 0.75 , 1.50 , 1.20 , 1.26 , 1.23 , 1.27 , (0.04),3.15%,14000,
05-01-21,XPRS,Express Kenya Plc,https://live.mystocks.co.ke/stock=XPRS, 2.50 , 6.00 , 3.61 , 3.61 , 3.61 , 3.61 , - ,-,-,
05-01-21,KQ,Kenya Airways Plc,https://live.mystocks.co.ke/stock=KQ, 0.80 , 3.96 , 3.83 , 3.83 , 3.83 , 3.83 , - ,-,-,
05-01-21,LKL,Longhorn Publishers Plc,https://live.mystocks.co.ke/stock=LKL, 4.05 , 5.30 , 4.75 , 4.75 , 4.75 , 4.87 , (0.12),2.46%,2600,
05-01-21,NBV,Nairobi Business Ventures Ltd,https://live.mystocks.co.ke/stock=NBV, 0.49 , 6.00 , 4.19 , 4.50 , 4.48 , 4.65 , (0.17),3.66%,45300,
05-01-21,NMG,Nation Media Group Plc,https://live.mystocks.co.ke/stock=NMG, 9.00 , 26.05 , 15.00 , 15.45 , 15.10 , 15.30 , (0.20),1.31%,33300,
05-01-21,SMER,Sameer Africa Plc,https://live.mystocks.co.ke/stock=SMER, 1.91 , 4.62 , 3.25 , 3.25 , 3.25 , 3.25 , - ,-,200,
05-01-21,SGL,Standard Group Plc,https://live.mystocks.co.ke/stock=SGL, 18.00 , 26.50 , 22.50 , 22.50 , 22.50 , 22.50 , - ,-,-,
05-01-21,TPSE,TPS Eastern Africa (Serena) Ltd,https://live.mystocks.co.ke/stock=TPSE, 11.70 , 18.00 , 16.00 , 16.00 , 16.00 , 16.00 , - ,-,-,
05-01-21,UCHM,Uchumi Supermarket Plc,https://live.mystocks.co.ke/stock=UCHM, 0.21 , 0.40 , 0.28 , 0.29 , 0.28 , 0.28 , - ,-,45800,
05-01-21,SCAN,WPP ScanGroup Plc,https://live.mystocks.co.ke/stock=SCAN, 5.04 , 25.00 , 5.90 , 6.00 , 6.00 , 6.00 , - ,-,65000,
05-01-21,ARM,ARM Cement Plc,https://live.mystocks.co.ke/stock=ARM, 5.55 , 5.55 , 5.55 , 5.55 , 5.55 , 5.55 , - ,-,-,
05-01-21,BAMB,Bamburi Cement Ltd,https://live.mystocks.co.ke/stock=BAMB, 19.05 , 50.00 , 38.00 , 39.00 , 38.20 , 39.95 , (1.75),4.38%,49000,
05-01-21,CRWN,Crown Paints Kenya Plc,https://live.mystocks.co.ke/stock=CRWN, 36.00 , 53.00 , 38.00 , 38.00 , 38.00 , 38.00 , - ,-,-,
05-01-21,CABL,East African Cables Ltd,https://live.mystocks.co.ke/stock=CABL, 1.25 , 2.43 , 1.40 , 1.45 , 1.45 , 1.40 , 0.05 ,3.57%,59800,
05-01-21,PORT,East African Portland Cement Ltd,https://live.mystocks.co.ke/stock=PORT, 7.80 , 16.00 , 11.00 , 11.00 , 11.00 , 11.00 , - ,-,-,
05-01-21,KEGN,Kenya Electricity Generating Company Plc,https://live.mystocks.co.ke/stock=KEGN, 4.40 , 6.28 , 4.67 , 4.85 , 4.76 , 4.67 , 0.09 ,1.93%,68800,
05-01-21,KPLC-P4,KPLC-P4,https://live.mystocks.co.ke/stock=KPLC-P4, 5.00 , 5.00 , 5.00 , 5.00 , 5.00 , 5.00 , - ,-,-,
05-01-21,KPLC-P7,KPLC-P7,https://live.mystocks.co.ke/stock=KPLC-P7, 6.00 , 6.00 , 6.00 , 6.00 , 6.00 , 6.00 , - ,-,-,
05-01-21,KPLC,Kenya Power and Lighting Company Plc,https://live.mystocks.co.ke/stock=KPLC, 1.16 , 2.50 , 1.69 , 1.74 , 1.71 , 1.71 , - ,-,905700,
05-01-21,TOTL,Total Kenya Ltd,https://live.mystocks.co.ke/stock=TOTL, 21.00 , 27.50 , 24.00 , 24.50 , 24.40 , 24.00 , 0.40 ,1.67%,2600,
05-01-21,UMME,Umeme Ltd,https://live.mystocks.co.ke/stock=UMME, 6.36 , 8.60 , 7.28 , 7.30 , 7.28 , 7.30 , (0.02),0.27%,6200,
05-01-21,BRIT,Britam Holdings Plc,https://live.mystocks.co.ke/stock=BRIT, 6.00 , 10.65 , 7.00 , 7.50 , 7.12 , 7.00 , 0.12 ,1.71%,9500,
05-01-21,CIC,CIC Insurance Group Ltd,https://live.mystocks.co.ke/stock=CIC, 1.95 , 2.65 , 2.11 , 2.20 , 2.16 , 2.11 , 0.05 ,2.37%,97500,
05-01-21,JUB,Jubilee Holdings Ltd,https://live.mystocks.co.ke/stock=JUB, 210.00 , 296.00 , 285.00 , 285.00 , 285.00 , 275.75 , 9.25 ,3.35%,1200,
05-01-21,KNRE,Kenya Re-Insurance Corporation Ltd,https://live.mystocks.co.ke/stock=KNRE, 2.00 , 2.94 , 2.31 , 2.40 , 2.33 , 2.31 , 0.02 ,0.87%,120900,
