DATE,CODE,NAME,WEBSITE LINK,  LAST 12 MONTHS Low , LAST 12 MONTHS High , DAY'S TRADING Low , DAY'S TRADING High , DAY'S TRADING VWAP Price , Previous DAY'S VWAP Price ,  Change  ,,Volume of Shares Traded, VWAP Adjusted Price for bonus issues and share splits 
17-08-18,HFCK,HF Group Ltd,https://live.mystocks.co.ke/stock=HFCK, 2.86 , 5.48 , 7.90 , 8.00 , 7.92 , 7.94 , (0.02),0.25%,15400, - 
17-08-18,IMH,I & M Holdings Plc,https://live.mystocks.co.ke/stock=IMH, 20.50 , 27.25 , 116.00 , 116.00 , 116.00 , 116.00 ,  -  ,-,-, 29.00 
17-08-18,KCB,KCB Group Plc,https://live.mystocks.co.ke/stock=KCB, 30.00 , 47.00 , 48.75 , 50.00 , 49.50 , 49.00 , 0.50 ,1.02%,185000, - 
17-08-18,NBK,National Bank of Kenya Ltd,https://live.mystocks.co.ke/stock=NBK, 4.12 , 4.12 , 6.00 , 6.20 , 6.05 , 6.00 , 0.05 ,0.83%,5400, - 
17-08-18,NCBA,NCBA Group Plc,https://live.mystocks.co.ke/stock=NCBA, 20.00 , 27.85 , 34.75 , 35.00 , 35.00 , 35.00 ,  -  ,-,22400, 31.82 
17-08-18,SBIC,Stanbic Holdings Plc,https://live.mystocks.co.ke/stock=SBIC, 72.25 , 92.00 , 106.00 , 106.00 , 106.00 , 104.00 , 2.00 ,1.92%,7300, - 
17-08-18,SCBK,Standard Chartered Bank Kenya Ltd,https://live.mystocks.co.ke/stock=SCBK, 127.00 , 170.00 , 208.00 , 208.00 , 208.00 , 207.75 , 0.25 ,0.12%,1000, - 
17-08-18,DCON,Deacons (East Africa) Plc,https://live.mystocks.co.ke/stock=DCON, 0.45 , 0.45 , 1.15 , 1.20 , 1.15 , 1.15 ,  -  ,-,1500, - 
17-08-18,EVRD,Eveready East Africa Ltd,https://live.mystocks.co.ke/stock=EVRD, 0.85 , 1.50 , 1.45 , 1.50 , 1.45 , 1.45 ,  -  ,-,1200, - 
17-08-18,XPRS,Express Kenya Plc,https://live.mystocks.co.ke/stock=XPRS, 2.50 , 4.87 , 5.00 , 5.05 , 5.00 , 5.00 ,  -  ,-,3300, - 
17-08-18,KQ,Kenya Airways Plc,https://live.mystocks.co.ke/stock=KQ, 3.83 , 3.83 , 10.50 , 11.60 , 10.70 , 10.60 , 0.10 ,0.94%,126500, - 
17-08-18,LKL,Longhorn Publishers Plc,https://live.mystocks.co.ke/stock=LKL, 3.70 , 5.00 , 4.55 , 4.70 , 4.55 , 4.55 ,  -  ,-,9900, - 
17-08-18,NBV,Nairobi Business Ventures Ltd,https://live.mystocks.co.ke/stock=NBV, 0.54 , 13.80 , 1.80 , 1.90 , 1.80 , 1.90 , (0.10),5.26%,40900, - 
17-08-18,NMG,Nation Media Group Plc,https://live.mystocks.co.ke/stock=NMG, 9.00 , 26.05 , 89.00 , 90.00 , 89.50 , 89.50 ,  -  ,-,45400, - 
17-08-18,SMER,Sameer Africa Plc,https://live.mystocks.co.ke/stock=SMER, 2.46 , 4.62 , 2.65 , 2.75 , 2.70 , 2.65 , 0.05 ,1.89%,23700, - 
17-08-18,SGL,Standard Group Plc,https://live.mystocks.co.ke/stock=SGL, 15.00 , 26.30 , 30.50 , 30.50 , 30.50 , 30.00 , 0.50 ,1.67%,300, - 
17-08-18,TPSE,TPS Eastern Africa (Serena) Ltd,https://live.mystocks.co.ke/stock=TPSE, 12.55 , 18.00 , 26.00 , 26.00 , 26.00 , 25.00 , 1.00 ,4.00%,200, - 
17-08-18,UCHM,Uchumi Supermarket Plc,https://live.mystocks.co.ke/stock=UCHM, 0.20 , 0.37 , 1.40 , 1.55 , 1.50 , 1.45 , 0.05 ,3.45%,30800, - 
17-08-18,SCAN,WPP ScanGroup Plc,https://live.mystocks.co.ke/stock=SCAN, 4.52 , 21.50 , 15.00 , 15.00 , 15.00 , 15.25 , (0.25),1.64%,6200, - 
17-08-18,ARM,ARM Cement Plc,https://live.mystocks.co.ke/stock=ARM, 5.55 , 5.55 , 5.05 , 5.60 , 5.50 , 5.10 , 0.40 ,7.84%,556900, - 
17-08-18,BAMB,Bamburi Cement Ltd,https://live.mystocks.co.ke/stock=BAMB, 19.05 , 47.05 , 181.00 , 181.00 , 181.00 , 185.00 , (4.00),2.16%,200, - 
17-08-18,CRWN,Crown Paints Kenya Plc,https://live.mystocks.co.ke/stock=CRWN, 20.25 , 49.00 , 66.00 , 66.00 , 66.00 , 66.00 ,  -  ,-,-, - 
17-08-18,CABL,East African Cables Ltd,https://live.mystocks.co.ke/stock=CABL, 1.18 , 2.43 , 3.40 , 3.70 , 3.50 , 3.70 , (0.20),5.41%,16100, - 
17-08-18,PORT,East African Portland Cement Ltd,https://live.mystocks.co.ke/stock=PORT, 7.20 , 16.00 , 18.00 , 18.00 , 18.00 , 18.00 ,  -  ,-,-, - 
17-08-18,KENO,KenolKobil Ltd,https://live.mystocks.co.ke/stock=KENO, 12.80 , 23.00 , 17.50 , 17.65 , 17.55 , 17.65 , (0.10),0.57%,10500, - 
17-08-18,KEGN,Kenya Electricity Generating Company Plc,https://live.mystocks.co.ke/stock=KEGN, 3.90 , 6.28 , 6.45 , 6.75 , 6.45 , 6.45 ,  -  ,-,583100, - 
17-08-18,KPLC-P4,KPLC-P4,https://live.mystocks.co.ke/stock=KPLC-P4, 4.50 , 5.00 , 5.00 , 5.00 , 5.00 , 5.00 ,  -  ,-,-, - 
17-08-18,KPLC-P7,KPLC-P7,https://live.mystocks.co.ke/stock=KPLC-P7, 6.00 , 6.00 , 6.00 , 6.00 , 6.00 , 6.00 ,  -  ,-,-, - 
17-08-18,KPLC,Kenya Power and Lighting Company Plc,https://live.mystocks.co.ke/stock=KPLC, 1.16 , 2.12 , 6.00 , 6.20 , 6.00 , 6.15 , (0.15),2.44%,149700, - 
17-08-18,TOTL,Total Kenya Ltd,https://live.mystocks.co.ke/stock=TOTL, 21.00 , 26.75 , 30.50 , 31.00 , 30.50 , 30.75 , (0.25),0.81%,44100, - 
17-08-18,UMME,Umeme Ltd,https://live.mystocks.co.ke/stock=UMME, 5.40 , 8.00 , 9.40 , 9.40 , 9.40 , 9.25 , 0.15 ,1.62%,300, - 
17-08-18,BRIT,Britam Holdings Plc,https://live.mystocks.co.ke/stock=BRIT, 6.00 , 8.04 , 14.00 , 14.10 , 14.00 , 14.15 , (0.15),1.06%,50100, - 
17-08-18,CIC,CIC Insurance Group Ltd,https://live.mystocks.co.ke/stock=CIC, 1.95 , 3.50 , 4.60 , 4.80 , 4.65 , 4.70 , (0.05),1.06%,104700, - 
17-08-18,JUB,Jubilee Holdings Ltd,https://live.mystocks.co.ke/stock=JUB, 210.00 , 392.00 , 508.00 , 508.00 , 508.00 , 506.00 , 2.00 ,0.40%,100, - 
17-08-18,KNRE,Kenya Re-Insurance Corporation Ltd,https://live.mystocks.co.ke/stock=KNRE, 2.00 , 2.94 , 16.05 , 16.40 , 16.10 , 16.20 , (0.10),0.62%,8200, 4.03 
17-08-18,LBTY,Liberty Kenya Holdings Ltd,https://live.mystocks.co.ke/stock=LBTY, 6.60 , 10.50 , 12.65 , 12.65 , 12.65 , 13.80 , (1.15),8.33%,200, - 
17-08-18,SLAM,Sanlam Kenya Plc,https://live.mystocks.co.ke/stock=SLAM, 9.00 , 14.00 , 24.00 , 24.50 , 24.25 , 24.00 , 0.25 ,1.04%,600, - 
17-08-18,CTUM,Centum Investment Company Plc,https://live.mystocks.co.ke/stock=CTUM, 14.40 , 24.00 , 34.25 , 36.00 , 35.95 , 36.00 , (0.05),0.14%,513700, - 
17-08-18,HAFR,Home Afrika Ltd,https://live.mystocks.co.ke/stock=HAFR, 0.33 , 0.50 , 0.70 , 0.75 , 0.70 , 0.70 ,  -  ,-,440200, - 
17-08-18,KURV,Kurwitu Ventures Ltd,https://live.mystocks.co.ke/stock=KURV," 1,500.00 "," 1,500.00 "," 1,500.00 "," 1,500.00 "," 1,500.00 "," 1,500.00 ",  -  ,-,-, - 
17-08-18,OCH,Olympia Capital Holdings Ltd,https://live.mystocks.co.ke/stock=OCH, 1.63 , 2.60 , 2.85 , 3.20 , 2.85 , 3.10 , (0.25),8.06%,29600, - 
17-08-18,TCL,Trans-Century Plc,https://live.mystocks.co.ke/stock=TCL, 1.01 , 2.68 , 3.45 , 3.50 , 3.45 , 3.50 , (0.05),1.43%,1200, - 
17-08-18,NSE,Nairobi Securities Exchange Plc,https://live.mystocks.co.ke/stock=NSE, 6.50 , 9.74 , 16.90 , 17.20 , 17.00 , 16.90 , 0.10 ,0.59%,22100, - 
17-08-18,BOC,BOC Kenya Plc,https://live.mystocks.co.ke/stock=BOC, 54.00 , 75.25 , 91.00 , 100.00 , 94.00 , 91.00 , 3.00 ,3.30%,300, - 
17-08-18,BAT,British American Tobacco Kenya Plc,https://live.mystocks.co.ke/stock=BAT, 309.75 , 500.00 , 609.00 , 609.00 , 609.00 , 609.00 ,  -  ,-,-, - 
17-08-18,CARB,Carbacid Investments Plc,https://live.mystocks.co.ke/stock=CARB, 7.80 , 13.00 , 11.80 , 11.85 , 11.80 , 11.80 ,  -  ,-,19800, - 
17-08-18,EABL,East African Breweries Ltd,https://live.mystocks.co.ke/stock=EABL, 148.00 , 194.00 , 210.00 , 214.00 , 211.00 , 213.00 , (2.00),0.94%,144000, - 
17-08-18,FTGH,Flame Tree Group Holdings Ltd,https://live.mystocks.co.ke/stock=FTGH, 1.10 , 1.54 , 3.65 , 4.00 , 3.75 , 3.90 , (0.15),3.85%,2500, - 
17-08-18,ORCH,Kenya Orchards Ltd,https://live.mystocks.co.ke/stock=ORCH, 10.40 , 12.25 , 82.00 , 82.00 , 82.00 , 82.00 ,  -  ,-,-, - 
17-08-18,MSC,Mumias Sugar Company Ltd,https://live.mystocks.co.ke/stock=MSC, - , - , 0.75 , 0.80 , 0.75 , 0.75 ,  -  ,-,458600, - 
