DATE,CODE,NAME,WEBSITE LINK,DAY'S TRADING Low,DAY'S TRADING High,DAY'S TRADING VWAP Price,Previous DAY'S VWAP Price,Change,Change Percent,Volume of Shares Traded,VWAP Adjusted Price for bonus issues and share splits
04-01-21,UNGA,Unga Group Ltd,https://live.mystocks.co.ke/stock=UNGA,31.8,31.8,31.8,31.8,0,0.00%,-,
04-01-21,SCOM,Safaricom Plc,https://live.mystocks.co.ke/stock=SCOM,34,34.5,34.25,34.25,0,0.00%,3591000,
04-01-21,FAHR,Stanlib Fahari Income-REIT,https://live.mystocks.co.ke/stock=FAHR,5.64,6.08,5.84,5.64,0.2,3.55%,9000,
04-01-21,GLD,ABSA NewGold ETF,https://live.mystocks.co.ke/stock=GLD,1975,1975,1975,1975,0,0.00%,-,
04-01-21,^FNK15,FTSE NSE Kenya 15 Index,https://live.mystocks.co.ke/stock=%255EFNK15,177.47,179.97,177.94,178.15,-0.21,-0.12%,-,
04-01-21,^FNK25,FTSE NSE Kenya 25 Index,https://live.mystocks.co.ke/stock=%255EFNK25,196.9,198.69,197.7,197.58,0.12,0.06%,-,
04-01-21,^N20I,NSE 20-Share Index,https://live.mystocks.co.ke/stock=%255EN20I,1872.42,1872.42,1872.42,1868.39,4.03,0.22%,-,
04-01-21,^N25I,NSE 25-Share Index,https://live.mystocks.co.ke/stock=%255EN25I,3410.11,3410.11,3410.11,3415.24,-5.13,-0.15%,-,
04-01-21,^NASI,NSE All-Share Index,https://live.mystocks.co.ke/stock=%255ENASI,152.04,152.04,152.04,152.11,-0.07,-0.05%,-,
04-01-21,^ZKEQTK,Zamara Kenya Equity Index (KES),https://live.mystocks.co.ke/stock=%255EZKEQTK,1781.47,1781.47,1781.47,1781.3,0.17,0.01%,-,
04-01-21,^ZKEQTU,Zamara Kenya Equity Index (USD),https://live.mystocks.co.ke/stock=%255EZKEQTU,1403.33,1403.33,1403.33,1404.48,-1.15,-0.08%,-,
05-01-21,EGAD,Eaagads Ltd,https://live.mystocks.co.ke/stock=EGAD,12.5,12.5,12.5,12.5,0,0.00%,-,
05-01-21,KUKZ,Kakuzi Plc,https://live.mystocks.co.ke/stock=KUKZ,365,365,365,365,0,0.00%,-,
05-01-21,KAPC,Kapchorua Tea Kenya Plc,https://live.mystocks.co.ke/stock=KAPC,78,78,78,78,0,0.00%,-,
05-01-21,LIMT,Limuru Tea Plc,https://live.mystocks.co.ke/stock=LIMT,360,360,360,360,0,0.00%,-,
05-01-21,SASN,Sasini Plc,https://live.mystocks.co.ke/stock=SASN,19.5,19.5,19.5,19.5,0,0.00%,100,
05-01-21,WTK,Williamson Tea Kenya Plc,https://live.mystocks.co.ke/stock=WTK,130,130,130,129.75,0.25,0.19%,100,
05-01-21,CGEN,Car and General (K) Ltd,https://live.mystocks.co.ke/stock=CGEN,22.5,22.5,22.5,22,0.5,2.27%,100,
05-01-21,ABSA,ABSA Bank Kenya Plc,https://live.mystocks.co.ke/stock=ABSA,9.44,9.7,9.44,9.52,-0.08,-0.84%,1923300,
05-01-21,BKG,BK Group Plc,https://live.mystocks.co.ke/stock=BKG,20.5,20.5,20.5,20.5,0,0.00%,-,
05-01-21,COOP,Co-operative Bank of Kenya Ltd,https://live.mystocks.co.ke/stock=COOP,12.35,12.95,12.5,12.55,-0.05,-0.40%,425500,
05-01-21,DTK,Diamond Trust Bank Kenya Ltd,https://live.mystocks.co.ke/stock=DTK,76,77,76.25,76.75,-0.5,-0.65%,10200,
05-01-21,EQTY,Equity Group Holdings Plc,https://live.mystocks.co.ke/stock=EQTY,35.95,36.5,36.05,36.25,-0.2,-0.55%,879200,
05-01-21,HFCK,HF Group Ltd,https://live.mystocks.co.ke/stock=HFCK,3.14,3.45,3.3,3.14,0.16,5.10%,53500,
05-01-21,IMH,I & M Holdings Plc,https://live.mystocks.co.ke/stock=IMH,43.5,43.9,43.5,44.85,-1.35,-3.01%,107900,
05-01-21,KCB,KCB Group Plc,https://live.mystocks.co.ke/stock=KCB,38.35,38.95,38.5,38.4,0.1,0.26%,70000,
05-01-21,NBK,National Bank of Kenya Ltd,https://live.mystocks.co.ke/stock=NBK,4.12,4.12,4.12,4.12,0,0.00%,-,
05-01-21,NCBA,NCBA Group Plc,https://live.mystocks.co.ke/stock=NCBA,25.45,27,25.75,26.6,-0.85,-3.20%,67900,
05-01-21,SBIC,Stanbic Holdings Plc,https://live.mystocks.co.ke/stock=SBIC,85,85,85,85,0,0.00%,-,
05-01-21,SCBK,Standard Chartered Bank Kenya Ltd,https://live.mystocks.co.ke/stock=SCBK,144,145,144.5,144.5,0,0.00%,10100,
05-01-21,DCON,Deacons (East Africa) Plc,https://live.mystocks.co.ke/stock=DCON,0.45,0.45,0.45,0.45,0,0.00%,-,
05-01-21,EVRD,Eveready East Africa Ltd,https://live.mystocks.co.ke/stock=EVRD,1.2,1.26,1.23,1.27,-0.04,-3.15%,14000,
